case;issuerAccountNumber;PaymentType;PaymentMethodId;ProgramId;WalletID;Description;Currency;Amount;EmailNotification;IssuerTransactionId;BeneficiaryAccountNumber;BeneficiaryWalletID;BeneficiaryLinkedBankID;BeneficiaryPayPalEmailID;BeneficiaryCheckCountryCodeISO2;BeneficiaryCheckName;BeneficiaryCheckCity;BeneficiaryCheckState;BeneficiaryCheckAddresss1;BeneficiaryCheckAddresss2;BeneficiaryCheckPostalCode;BeneficiaryCheckMemo;BeneficiaryCheckReference;CardToken;errormessage
case11;SPN1987678;Company;XTR94508;86288;2314;test errors;USD;0.25;TRUE;;SPN1986817 ;85304;982353390933219d9 ;corporatecompany2@mailinator.com;US;checkname11;florida;California;check address11;check addres2 ;900071;96431BDBC13248C;ref11;8DA1F205BA68495;IssuerTransactionId is Mandatory and must be an integer
case12;SPN1987678;Company;XTR94508;86288;2314;test errors;USD;;TRUE;12345;SPN1986817 ;85304;982353390933219d9 ;corporatecompany2@mailinator.com;US;checkname12;florida;California;check address12;check addres2 ;900072;96431BDBC13248C;ref12;8DA1F205BA68496;Payment Amount is Mandatory
case13;SPN1987678;Company;XTR94508;86288;2314;test errors;USD;0.25;TRUE;12345;;85304;982353390933219d9 ;corporatecompany2@mailinator.com;US;checkname13;florida;California;check address13;check addres2 ;900073;96431BDBC13248C;ref13;8DA1F205BA68497;Beneficiary Account Number is Mandatory
case14;SPN1987678;Company;XTR94508;86288;2314;test errors;USD;0.25;TRUE;12345;SPN1986817 ;;982353390933219d9 ;corporatecompany2@mailinator.com;US;checkname14;florida;California;check address14;check addres2 ;900074;96431BDBC13248C;ref14;8DA1F205BA68498;2314 - Invalid wallet id,SPN1986817 - card token is invalid,Current funds are insufficient to process request
case15;SPN1987678;Company;XTR94508;86288;2314;test errors;USD;0.25;TRUE;12345;SPN1986817 ;85304;;corporatecompany2@mailinator.com;US;checkname15;florida;California;check address15;check addres2 ;900075;96431BDBC13248C;ref15;8DA1F205BA68499;2314 - Invalid wallet id,SPN1986817 - card token is invalid,Current funds are insufficient to process request
case16;SPN1987678;Company;XTR94508;86288;2314;test errors;USD;0.25;TRUE;12345;SPN1986817 ;85304;982353390933219d9 ;;US;checkname16;florida;California;;check addres2 ;900076;;ref16;;2314 - Invalid wallet id,SPN1986817 - card token is mandatory,Current funds are insufficient to process request
case17;SPN1987678;Company;XTR94508;86288;2314;test errors;USD;0.25;TRUE;12345;SPN1986817 ;85304;982353390933219d9 ;corporatecompany2@mailinator.com;;checkname17;florida;California;check address17;check addres2 ;900077;;ref17;;2314 - Invalid wallet id,SPN1986817 - card token is mandatory,Current funds are insufficient to process request
case18;SPN1987678;Company;XTR94508;86288;2314;test errors;USD;0.25;TRUE;12345;SPN1986817 ;85304;982353390933219d9 ;corporatecompany2@mailinator.com;fasdasfad;checkname18;florida;California;check address18;check addres2 ;900078;96431BDBC13248C;ref18;8DA1F205BA68502;2314 - Invalid wallet id,SPN1986817 - card token is invalid,Current funds are insufficient to process request
case19;SPN1987678;Company;XTR94507 ;86288;2314;test errors;USD;0.25;TRUE;12345;SPN1986817 ;85304;982353390933219d9 ;corporatecompany2@mailinator.com;US;checkname19;;California;check address19;check addres2 ;900079;96431BDBC13248C;ref19;8DA1F205BA68503;2314 - Invalid wallet id,Beneficiary Check City is mandatory,Current funds are insufficient to process request
case20;SPN1987678;Company;XTR94507 ;86288;2314;test errors;USD;0.25;TRUE;12345;SPN1986817 ;85304;982353390933219d9 ;corporatecompany2@mailinator.com;US;checkname20;florida;;check address20;;900080;96431BDBC13248C;ref20;8DA1F205BA68504;2314 - Invalid wallet id,Beneficiary Check State is mandatory,Current funds are insufficient to process request
case21;SPN1987678;Company;XTR94507 ;86288;2314;test errors;USD;0.25;TRUE;12345;SPN1986817 ;85304;982353390933219d9 ;corporatecompany2@mailinator.com;US;checkname21;florida;California;check address21;check addres2 ;900081;96431BDBC13248C;ref21;8DA1F205BA68505;2314 - Invalid wallet id,Current funds are insufficient to process request
case22;SPN1987678;Company;XTR94505 ;86288;2314;test errors;USD;0.25;TRUE;12345;SPN1986817 ;85304;982353390933219d9 ;corporatecompany2@mailinator.com;US;checkname22;florida;California;check address22;check addres2 ;Shefa;96431BDBC13248C;ref22;8DA1F205BA68506;XTR94505 - Invalid Payment Method Id,2314 - Invalid wallet id,Current funds are insufficient to process request
case23;SPN1987678;Company;XTR94503 ;86288;2314;test errors;USD;0.25;TRUE;12345;SPN1986817 ;85304;982353390933219d9 ;corporatecompany2@mailinator.com;US;checkname23;florida;California;check address23;check addres2 ;;96431BDBC13248C;ref23;8DA1F205BA68507;XTR94503 - Invalid Payment Method Id,2314 - Invalid wallet id,Current funds are insufficient to process request
case24;SPN1987678;Company;XTR94500 ;86288;2314;test errors;USD;0.25;TRUE;12345;SPN1986817 ;85304;982353390933219d9 ;corporatecompany2@mailinator.com;US;checkname24;florida;California;check address24;check addres2 ;;96431BDBC13248C;ref24;8DA1F205BA68508;2314 - Invalid wallet id,SPN1987678 - Invalid Beneficiary Linked Bank ID,Current funds are insufficient to process request
case25;;;;;;;;;;;;;;;;;;;;;;;;;WalletID is Mandatory and must be an integer,IssuerTransactionId is Mandatory and must be an integer,Issuer Account Number is Mandatory,Payment Type is Mandatory,Payment MethodId is Mandatory,Payment Description is Mandatory,Currency is Mandatory,Payment Amount is Mandatory,EmailNotification is Mandatory and must be boolean,Beneficiary Account Number is Mandatory
